Source,Date,Link,Conservative,Liberal,NDP,Bloc QC,Green,Other,,,Campaign
EKOS Research Associates,"July 28, 2009",PDF,32.5,34.1,14.5,8.6,10.4,,,,FALSE
EKOS Research Associates,"July 21, 2009",PDF,32.8,32.5,14.8,8.4,11.5,,,,FALSE
Angus Reid Strategies,"July 17, 2009",PDF,33,30,18,11,6,,,,FALSE
EKOS Research Associates,"July 14, 2009",PDF,34.1,32.4,15.2,8.7,9.6,,,,FALSE
EKOS Research Associates,"July 7, 2009",PDF,31.8,32.2,16.0,9.3,10.7,,,,FALSE
Angus Reid Strategies,"July 3, 2009",PDF,36,30,16,10,7,,,,FALSE
EKOS Research Associates,"June 29, 2009",PDF,31.0,32.2,16.2,9.0,11.5,,,,FALSE
EKOS Research Associates,"June 23, 2009",PDF,34.8,32.6,14.3,9.0,9.3,,,,FALSE
Nanos Research,"June 21, 2009",PDF,32.2,36.3,16.8,9.8,4.8,,,,FALSE
Angus Reid Strategies,"June 18, 2009",PDF,32,31,18,11,7,,,,FALSE
EKOS Research Associates,"June 16, 2009",PDF,32.4,33.7,16.3,8.4,9.0,,,,FALSE
EKOS Research Associates,"June 9, 2009",PDF,30.3,35.0,15.1,9.2,10.4,,,,FALSE
Harris-Decima,"June 8, 2009",PDF,31,35,15,9,8,,,,FALSE
Strategic Counsel,"June 7, 2009",HTML,30,34,16,9,11,,,,FALSE
Ipsos Reid,"June 4, 2009",HTML,33,36,12,9,9,,,,FALSE
Nanos Research,"June 1, 2009",PDF,31.8,37.2,15.7,8.0,7.4,,,,FALSE
Angus Reid Strategies,"May 29, 2009",PDF,31,33,17,9,7,,,,FALSE
EKOS Research Associates,"May 28, 2009",PDF,32.3,33.5,15.1,8.7,10.4,,,,FALSE
Ipsos Reid,"May 24, 2009",HTML,35,33,14,9,8,,,,FALSE
Strategic Counsel,"May 10, 2009",PDF,30,35,16,9,11,,,,FALSE
Harris-Decima,"May 3, 2009",PDF,29,34,15,9,11,,,,FALSE
Nanos Research,"April 30, 2009",PDF,33,36,15,9,7,,,,FALSE
Ipsos Reid,"April 30, 2009",HTML,33,36,13,9,8,,,,FALSE
Angus Reid Strategies,"April 22, 2009",PDF,33,33,15,10,6,,,,FALSE
Harris-Decima,"April 19, 2009",PDF,29,32,16,9,11,,,,FALSE
EKOS Research Associates,"April 13, 2009",PDF,30.2,36.7,15.5,9.4,8.1,,,,FALSE
Strategic Counsel,"April 5, 2009",PDF,32,34,15,10,9,,,,FALSE
Leger Marketing,"March 23, 2009",PDF,34,35,14,9,6,,,,FALSE
Nanos Research,"March 18, 2009",PDF,33,36,13,10,8,,,,FALSE
Angus Reid Strategies,"March 11, 2009",PDF,35,31,16,10,7,,,,FALSE
Harris-Decima,"March 8, 2009",PDF,32,33,14,9,10,,,,FALSE
Strategic Counsel,"March 8, 2009",PDF,35,31,16,9,10,,,,FALSE
Ipsos Reid,"March 5, 2009",HTML,37,33,12,10,8,,,,FALSE
Harris-Decima,"February 15, 2009",PDF,33,33,15,10,7,,,,FALSE
Strategic Counsel,"February 8, 2009",PDF,32,33,17,5,13,,,,FALSE
Harris-Decima,"February 8, 2009",PDF,33,31,15,10,10,,,,FALSE
Ipsos Reid,"February 7, 2009",HTML,37,31,14,10,7,,,,FALSE
Nanos Research,"February 3, 2009",PDF,34,33,16,10,7,,,,FALSE
Angus Reid Strategies,"January 27, 2009",PDF,38,29,18,8,6,,,,FALSE
EKOS Research Associates,"January 17, 2009",PDF,36.2,32.6,14.3,7.9,9.1,,,,FALSE
Angus Reid Strategies,"January 15, 2009",PDF,39,30,17,9,5,,,,FALSE
Strategic Counsel,"January 14, 2009",PDF,36,29,18,8,8,,,,FALSE
Ipsos Reid,"January 8, 2009",HTML,39,28,15,9,9,,,,FALSE
Nanos Research,"January 7, 2009",PDF,33,34,19,7,7,,,,FALSE
COMPAS,"December 23, 2008",PDF,43,30,13,6,8,,,,FALSE
Angus Reid Strategies,"December 12, 2008",PDF,37,31,15,9,8,,,,FALSE
Ipsos Reid,"December 11, 2008",HTML,45,26,12,10,7,,,,FALSE
Angus Reid Strategies,"December 6, 2008",PDF,42,22,18,10,7,,,,FALSE
Praxicus Public Strategies,"December 4, 2008",HTML,47,24,14,8,8,,,,FALSE
COMPAS,"December 4, 2008",PDF,51,20,10,8,6,,,,FALSE
EKOS Research Associates,"December 4, 2008",PDF,42.2,23.6,15.0,10.2,9.0,,,,FALSE
Strategic Counsel,"December 3, 2008",PDF,45,24,14,10,8,,,,FALSE
Ipsos Reid,"December 3, 2008",HTML,46,23,13,9,8,,,,FALSE
EKOS Research Associates,"December 3, 2008",PDF,44.0,24.1,14.5,9.2,8.1,,,,FALSE
Nanos Research,"November 15, 2008",PDF,32,30,20,9,10,,,,FALSE
Election 2008,"October 14, 2008",HTML,37.6,26.2,18.2,10.0,6.8,,,,FALSE
