Source,Date,Link,Conservative,NDP,Liberal,Bloc QC,Green,Error,Sample,Type,Margin,Campaign
Forum Research,"January 17, 2014",PDF,28,25,37,5,4,±2.0 pp,"1,779",IVR,9,FALSE
EKOS,"December 15, 2013",PDF,26.2,22.9,32.1,6.3,9.3,±1.7 pp,"3,468",IVR,5.9,FALSE
Forum Research,"December 13, 2013",PDF,32,21,38,5,3,±2.0 pp,"1,634",IVR,6,FALSE
Ipsos Reid,"November 27, 2013",HTML,29,26,35,6,3,±3.5 pp,"1,014",online,6,FALSE
Harris-Decima,"November 25, 2013",PDF[permanent dead link],26,23,36,7,7,±2.2 pp,"2,034",telephone,10,FALSE
Forum Research,"November 13, 2013",PDF,29,22,38,6,4,±2.0 pp,"1,834",IVR,9,FALSE
EKOS,"October 29, 2013",PDF,26.4,24.9,37.4,5.2,5.2,±2.6 pp,"1,377",telephone/online,11.0,FALSE
Ipsos Reid,"October 28, 2013",HTML,30,31,31,6,2,±3.4 pp,"1,102",online,Tie,FALSE
Forum Research,"October 23, 2013",PDF,28,20,40,6,5,±3.0 pp,"1,007",IVR,12,FALSE
Forum Research,"October 22, 2013",PDF,30,19,39,7,5,±2.0 pp,"1,859",IVR,9,FALSE
Abacus Data,"October 22, 2013",PDF,32,23,32,5,7,±2.6 pp,"1,459",online,Tie,FALSE
Ipsos Reid,"October 20, 2013",HTML,31,27,33,6,2,±3.4 pp,"1,042",online,2,FALSE
Nanos Research,"October 18, 2013",PDF,29,23,37,5,5,±3.5 pp,"1,000",telephone,8,FALSE
EKOS,"October 14, 2013",PDF,26.1,24.9,36.3,5.0,6.5,±2.5 pp,"1,554",telephone/online,10.2,FALSE
Ipsos Reid,"September 20, 2013",HTML,32,26,31,7,3,±3.5 pp,"1,035",online,1,FALSE
Forum Research,"September 17, 2013",PDF,31,21,36,7,4,±3.0 pp,"1,527",IVR,5,FALSE
Harris-Decima,"September 9, 2013",PDF,29,24,33,6,6,±2.2 pp,"2,020",telephone,4,FALSE
Abacus Data,"September 4, 2013",PDF,30,27,29,8,4,±2.5 pp,"1,600",online,1,FALSE
Nanos Research,"August 31, 2013",PDF,30,25,33,5,5,±3.5 pp,"1,000",telephone,3,FALSE
Forum Research,"August 23, 2013",PDF,29,22,38,6,4,±3.0 pp,"1,189",IVR,9,FALSE
Nanos Research,"August 22, 2013",PDF,29.7,24.8,35.7,3.9,5.5,±3.3 pp,"1,000",telephone/online,6.0,FALSE
Nanos Research,"August 19, 2013",PDF,31.9,22.8,35.3,2.5,5.9,±2.2 pp,"2,000",telephone,3.4,FALSE
Forum Research,"July 23, 2013",PDF,31,22,35,7,4,±2.0 pp,"1,782",IVR,4,FALSE
EKOS,"July 9, 2013",PDF,28.4,23.4,30.4,6.3,8.5,±1.8 pp,"2,900",IVR,2.0,FALSE
Environics,"June 30, 2013",PDF[permanent dead link],28,24,34,6,6,±2.4 pp,"2,149",telephone,6,FALSE
Ipsos Reid,"June 25, 2013",HTML,30,28,33,6,4,±3.3 pp,"1,177",online,3,FALSE
Abacus Data,"June 23, 2013",HTML,27,26,29,6,10,±3.1 pp,999,online,2,FALSE
Leger Marketing,"June 19, 2013",PDF,29,21,37,4,8,±2.5 pp,"1,503",online,8,FALSE
Nanos Research,"June 19, 2013",PDF,29.4,25.3,34.2,3.7,6.4,±3.5 pp,"1,000",telephone/online,4.8,FALSE
Forum Research,"June 18, 2013",PDF,30,20,38,6,4,±2.0 pp,"1,525",IVR,8,FALSE
Ipsos Reid,"May 28, 2013",HTML,30,27,36,4,4,±3.5 pp,"1,009",online,6,FALSE
EKOS,"May 26, 2013",HTML,26.3,20.9,34.7,5.4,9.2,±1.7 pp,"3,318",IVR,8.4,FALSE
Forum Research,"May 22, 2013",PDF,27,20,44,4,3,±2.0 pp,"1,779",IVR,17,FALSE
EKOS,"May 2, 2013",PDF,26.2,23.9,38.6,4.2,6.3,±2.7 pp,"1,309",telephone/online,12.4,FALSE
Ipsos Reid,"April 30, 2013",HTML,32,25,35,5,3,±3.4 pp,"1,059",online,3,FALSE
Harris-Decima,"April 28, 2013",PDF,28,22,35,6,7,±2.2 pp,"2,008",telephone,7,FALSE
Forum Research,"April 15, 2013",PDF,30,19,43,5,2,±2.0 pp,"1,764",IVR,13,FALSE
EKOS,"April 10, 2013",PDF,28.8,23.3,29.1,6.4,9.0,±1.5 pp,"4,568",IVR,0.3,FALSE
Nanos Research,"April 8, 2013",PDF,31.3,23.6,35.4,4.8,4.2,±3.3 pp,"1,002",telephone/online,4.1,FALSE
Abacus Data,"April 6, 2013",PDF,33,27,27,5,7,±2.6 pp,"1,511",online,6,FALSE
Ipsos Reid,"April 3, 2013",HTML,31,27,32,6,4,±3.4 pp,"1,053",,1,FALSE
Forum Research,"April 2, 2013",PDF,29,25,33,5,6,±3.0 pp,"1,310",IVR,4,FALSE
Leger Marketing,"March 28, 2013",PDF,31,24,30,7,7,±2.5 pp,"1,511",online,1,FALSE
Abacus Data,"March 21, 2013",PDF,32,31,24,5,8,±3.1 pp,"1,014",online,1,FALSE
Forum Research,"March 7, 2013",PDF,31,27,30,6,5,±2.0 pp,"1,755",IVR,1,FALSE
Nanos Research,"February 24, 2013",PDF,31.5,27.2,29.1,5.2,5.9,±3.7 pp,"1,000",telephone,2.4,FALSE
EKOS,"February 10, 2013",PDF,29.3,26.3,24.6,7.2,9.5,±1.3 pp,"5,947",IVR,3.0,FALSE
Forum Research,"February 6, 2013",PDF,32,26,30,6,4,±3.0 pp,"1,091",IVR,2,FALSE
Abacus Data,"February 6, 2013",PDF,35,31,21,6,6,±2.3 pp,"1,832",online,4,FALSE
Nanos Research,"January 31, 2013",PDF,34.3,27.1,27.6,4.6,4.7,±3.5 pp,"1,000",telephone,6.7,FALSE
Forum Research,"January 17, 2013",PDF,36,28,25,7,4,±2.0 pp,"1,626",IVR,8,FALSE
Angus Reid,"January 17, 2013",PDF,35,29,22,6,6,±2.2 pp,"2,028",online,6,FALSE
Angus Reid,"January 3, 2013",PDF,35,33,19,6,6,±3.1 pp,"1,012",online,2,FALSE
Forum Research,"December 18, 2012",PDF,31,28,27,6,6,±2.0 pp,"1,355",IVR,3,FALSE
Abacus Data,"December 8, 2012",PDF,34,32,22,6,6,±2.6 pp,"1,505",online,2,FALSE
Leger Marketing,"December 6, 2012",PDF,35,30,18,7,9,±2.5 pp,"1,500",online,5,FALSE
EKOS,"December 3, 2012",PDF,31.9,25.8,24.4,6.7,8.4,±1.3 pp,"5,433",IVR,6.1,FALSE
Forum Research,"November 19, 2012",PDF,33,28,28,6,4,±2.0 pp,"1,849",IVR,5,FALSE
Nanos Research,"November 15, 2012",PDF,33.8,27.2,29.0,4.9,3.7,±3.5 pp,"1,004",telephone,4.8,FALSE
Abacus Data,"November 11, 2012",PDF,36,29,22,7,6,±3.0 pp,"1,068",online,7,FALSE
Ipsos Reid,"November 8, 2012",HTML,34,30,26,7,2,±2.5 pp,"2,009",telephone/online,4,FALSE
Forum Research,"October 27, 2012",PDF,31,32,27,6,4,±2.0 pp,"1,735",IVR,1,FALSE
Nanos Research,"October 11, 2012",PDF,33.3,27.9,30.1,4.7,2.9,±3.4 pp,"1,000",telephone,3.2,FALSE
Forum Research,"September 26, 2012",PDF,35,30,25,6,3,±2.0 pp,"1,707",IVR,5,FALSE
Environics,"September 23, 2012",PDF,31,35,20,9,5,±2.4 pp,"2,000",telephone,4,FALSE
Abacus Data,"September 18, 2012",PDF,35,35,17,7,6,±2.9 pp,"1,208",online,Tie,FALSE
Harris-Decima,"September 10, 2012",HTML,34,27,24,6,7,±2.2 pp,"2,007",telephone,7,FALSE
Nanos Research,"September 9, 2012",PDF,32.4,30.4,24.6,5.8,5.0,±3.4 pp,"1,000",telephone,2.0,FALSE
Forum Research,"August 22, 2012",PDF,34,34,22,6,4,±2.4 pp,"1,720",IVR,Tie,FALSE
Abacus Data,"August 12, 2012",HTML,37,32,20,6,6,±2.2 pp,"2,099",online,5,FALSE
Forum Research,"July 26, 2012",PDF,31,35,22,6,5,±2.4 pp,"1,639",IVR,4,FALSE
Nanos Research,"July 12, 2012",PDF,33.6,30.3,26.5,4.4,4.2,±3.2 pp,"1,200",telephone,3.3,FALSE
EKOS,"July 5, 2012",PDF,30.2,32.3,19.5,4.9,10.0,±2.1 pp,"2,098",IVR,2.1,FALSE
Forum Research,"June 27, 2012",PDF,35,35,19,6,3,±2.9 pp,"1,165",IVR,Tie,FALSE
EKOS,"June 26, 2012",PDF,29.3,32.4,19.2,6.5,9.5,±2.2 pp,"2,049",IVR,3.1,FALSE
Abacus Data,"June 23, 2012",HTML,35,35,20,5,6,±3.1 pp,"1,008",online,Tie,FALSE
Environics,"June 23, 2012",PDF,33,35,19,7,5,±2.4 pp,"2,093",telephone,2,FALSE
Ipsos Reid,"June 21, 2012",HTML,35,38,18,6,4,±3.1 pp,"1,099",online,3,FALSE
Harris-Decima,"June 18, 2012",PDF,31,32,23,5,7,±2.2 pp,"2,000",telephone,1,FALSE
Angus Reid,"June 16, 2012",PDF,34,35,19,6,5,±2.5 pp,"1,500",online,1,FALSE
Forum Research,"June 14, 2012",PDF,30,37,22,6,5,±2.5 pp,"1,529",IVR,7,FALSE
Nanos Research,"May 31, 2012",PDF,33.5,33.6,24.9,3.4,2.4,±3.1 pp,"1,201",telephone,0.1,FALSE
Forum Research,"May 23, 2012",PDF,32,36,20,5,6,±2.3 pp,"1,836",IVR,4,FALSE
Angus Reid,"May 23, 2012",PDF,37,33,18,7,4,±3.1 pp,"1,014",online,4,FALSE
Abacus Data,"May 16, 2012",PDF,37,35,17,6,5,±3.1 pp,"1,008",online,2,FALSE
Ipsos Reid,"May 10, 2012",HTML,37,35,19,5,3,±2.0 pp,"2,061",telephone/online,2,FALSE
Environics,"May 9, 2012",PDF,32,36,19,6,7,±3.5 pp,"1,000",telephone,4,FALSE
Harris-Decima,"May 6, 2012",PDF,30,34,20,7,8,±2.2 pp,"2,018",telephone,4,FALSE
Harris-Decima,"April 30, 2012",PDF,30,33,20,7,8,±3.1 pp,"1,006",telephone,3,FALSE
Forum Research,"April 25, 2012",PDF,33,36,22,6,2,±2.4 pp,"1,744",IVR,3,FALSE
Nanos Research,"April 18, 2012",PDF,34.7,32.4,23.3,3.9,4.2,±3.2 pp,"1,200",telephone,2.3,FALSE
Ipsos Reid,"April 5, 2012",HTML,34,33,21,7,4,±2.0 pp,"1,008",telephone,1,FALSE
Leger Marketing,"April 4, 2012",PDF,32,33,19,7,8,±2.5 pp,"1,506",online,1,FALSE
Harris-Decima,"April 2, 2012",PDF[permanent dead link],34,32,19,6,8,±2.2 pp,"2,003",telephone,2,FALSE
Forum Research,"March 30, 2012",PDF,36,34,19,5,5,±2.4 pp,"1,675",IVR,2,FALSE
Forum Research,"March 27, 2012",PDF,35,35,19,7,3,±2.4 pp,"1,638",IVR,Tie,FALSE
Angus Reid,"March 21, 2012",PDF,37,29,21,8,4,±3.1 pp,"1,004",online,8,FALSE
Innovative Research,"March 21, 2012",PDF,37,25,24,6,7,±2.8 pp,"1,193",online,12,FALSE
Harris-Decima,"March 19, 2012",PDF,31,28,24,8,7,±2.2 pp,"2,005",telephone,3,FALSE
Environics,"March 18, 2012",PDF,30,30,20,8,7,±2.4 pp,"2,000",telephone,Tie,FALSE
Abacus Data,"March 13, 2012",HTML,37,28,20,8,7,±3.1 pp,"1,003",online,9,FALSE
EKOS,"March 11, 2012",PDF,35.4,29.7,19.6,5.8,8.1,±2.2 pp,"2,011",telephone/online,5.7,FALSE
Ipsos Reid,"March 8, 2012",HTML,37,29,23,7,4,±2.0 pp,"3,154",telephone/online,8,FALSE
Leger Marketing,"March 5, 2012",PDF,34,26,24,8,7,±2.0 pp,"2,509",online,8,FALSE
Forum Research,"March 3, 2012",PDF,37,28,25,5,4,±2.4 pp,"1,675",IVR,9,FALSE
Nanos Research,"February 29, 2012",PDF,35.7,25.0,29.5,4.9,3.4,±3.1 pp,"1,203",telephone,6.2,FALSE
EKOS,"February 28, 2012",PDF,31.5,29.2,21.7,6.0,8.3,±1.6 pp,"3,699",IVR,2.3,FALSE
Forum Research,"February 6, 2012",PDF,36,28,26,6,3,±2.8 pp,"1,210",IVR,8,FALSE
Nanos Research,"January 23, 2012",PDF,35.7,25.2,27.6,5.6,4.5,±3.2 pp,"1,201",telephone,8.1,FALSE
Harris-Decima,"January 22, 2012",PDF,32,29,25,5,7,±2.2 pp,"2,000",telephone,3,FALSE
Angus Reid,"January 21, 2012",PDF,39,28,22,6,5,±3.1 pp,"1,000",online,11,FALSE
Abacus Data,"January 19, 2012",PDF,37,28,21,6,7,±3.1 pp,"1,000",online,9,FALSE
Forum Research,"January 13, 2012",PDF,35,28,25,6,4,±2.8 pp,"1,211",IVR,7,FALSE
EKOS,"December 21, 2011",PDF,31.4,29.5,24.8,6.7,6.1,±2.2 pp,"2,005",telephone/online,1.9,FALSE
Nanos Research,"December 18, 2011",PDF,36.5,28.7,25.6,4.4,3.8,±3.3 pp,"1,201",telephone,7.8,FALSE
Forum Research,"December 13, 2011",PDF,33,27,21,6,8,±2.9 pp,"1,160",IVR,6,FALSE
Harris-Decima,"December 12, 2011",PDF,34,28,22,6,7,±2.2 pp,"2,005",telephone,6,FALSE
Abacus Data,"December 4, 2011",PDF,40,31,18,6,5,±3.1 pp,"1,004",online,9,FALSE
Nanos Research,"November 21, 2011",PDF,35.6,27.3,28.1,3.9,3.9,±3.2 pp,"1,202",telephone,7.5,FALSE
Ipsos Reid,"November 9, 2011",HTML,37,31,21,6,3,,,,6,FALSE
Harris-Decima,"November 6, 2011",PDF,36,29,22,5,7,±2.2 pp,"2,000",telephone,7,FALSE
Nanos Research,"October 24, 2011",PDF,37.7,30.0,23.4,3.6,3.8,±3.2 pp,"1,202",telephone,7.7,FALSE
Nanos Research,"October 2, 2011",PDF,39.0,29.0,24.5,3.5,2.9,±3.2 pp,"1,209",telephone,10.0,FALSE
Angus Reid,"September 21, 2011",PDF,39,29,21,5,4,±2.4 pp,"1,668",online,10,FALSE
Leger Marketing,"September 15, 2011",HTML,39,33,17,5,6,±2.4 pp,"1,625",online,6,FALSE
Nanos Research,"September 1, 2011",PDF,39.5,33.1,20.7,2.6,3.4,±3.2 pp,"1,210",telephone,6.4,FALSE
Harris-Decima,"August 29, 2011",PDF,33,33,21,6,7,±2.2 pp,"2,026",telephone,Tie,FALSE
Abacus Data,"August 15, 2011",PDF,38,32,19,5,6,±3.2 pp,"1,003",online,6,FALSE
Angus Reid,"August 9, 2011",PDF,39,31,19,6,4,±3.1 pp,"1,005",online,8,FALSE
Nanos Research,"August 2, 2011",PDF,36.2,26.8,27.0,4.4,4.5,±3.1 pp,"1,203",telephone,9.2,FALSE
Abacus Data,"June 24, 2011",PDF,41,32,17,6,5,±3.2 pp,"1,005",online,9,FALSE
Nanos Research,"June 19, 2011",PDF,41.8,28.0,22.3,3.4,3.7,±3.1 pp,"1,211",telephone,13.8,FALSE
Nanos Research,"May 29, 2011",PDF,39.7,29.9,21.5,2.7,4.8,±3.1 pp,"1,205",telephone,9.8,FALSE
Harris-Decima,"May 22, 2011",HTML,38,33,15,5,7,±2.2 pp,"2,000",telephone,5,FALSE
Abacus Data,"May 19, 2011",PDF,40,33,16,6,5,±2.5 pp,"1,544",online,7,FALSE
