,Bloc QC,Campaign,Conservative,Date,Error,Green,Liberal,Link,Margin,NDP,Other,Sample,Source,Type
258,9,FALSE,31,2009-08-24,,11,32,HTML,,16,,,Harris-Decima,
259,8,FALSE,39,2009-08-24,,10,28,HTML,,14,,,Ipsos Reid,
257,9.5,FALSE,32.6,2009-08-25,,11.3,30.9,PDF,,15.7,,,EKOS Research Associates,
256,8,FALSE,34,2009-08-26,,9,30,PDF,,18,,,Angus Reid Strategies,
255,8,FALSE,36,2009-09-01,,3,36,HTML,,16,,,Pollara,
254,8.3,FALSE,32.6,2009-09-01,,9.9,32.6,PDF,,16.5,,,EKOS Research Associates,
253,9,FALSE,33,2009-09-02,,7,32,PDF,,19,,,Angus Reid Strategies,
252,9.7,FALSE,37.5,2009-09-02,,4.6,33.4,PDF,,14.8,,,Nanos Research,
251,12,FALSE,35,2009-09-06,,9,30,HTML,,14,,,Strategic Counsel,
250,8,FALSE,34,2009-09-06,,10,31,HTML,,15,,,Harris-Decima,
249,10,FALSE,34.2,2009-09-08,,10.1,30.8,HTML,,14.8,,,EKOS Research Associates,
248,9,FALSE,39,2009-09-13,,8,30,HTML,,12,,,Ipsos Reid,
247,9,FALSE,34,2009-09-13,,10,30,PDF,,15,,,Harris-Decima,
246,10,FALSE,36,2009-09-13,,7,29,PDF,,17,,,Angus Reid Strategies,
245,9.6,FALSE,35.1,2009-09-15,,9,29.9,HTML,,16.5,,,EKOS Research Associates,
244,9.1,FALSE,37,2009-09-22,,10.2,29.9,HTML,,13.8,,,EKOS Research Associates,
243,9,FALSE,37,2009-09-24,,8,29,PDF,,16,,,Angus Reid Strategies,
242,9.8,FALSE,36,2009-09-29,,10.5,29.7,HTML,,13.9,,,EKOS Research Associates,
241,11,FALSE,37,2009-09-30,,6,27,PDF,,17,,,Angus Reid Strategies,
240,9,FALSE,41,2009-10-04,,9,28,HTML,,14,,,Strategic Counsel,
239,9.7,FALSE,39.7,2009-10-06,,9.7,25.7,HTML,,15.2,,,EKOS Research Associates,
238,10,FALSE,39,2009-10-08,,8,29,HTML,,13,,,Ipsos Reid,
237,10,FALSE,35,2009-10-12,,10,28,HTML,,15,,,Harris-Decima,
236,9.1,FALSE,40.7,2009-10-13,,10.5,25.5,HTML,,14.3,,,EKOS Research Associates,
235,8,FALSE,41,2009-10-14,,6,27,PDF,,16,,,Angus Reid Strategies,
234,8.9,FALSE,39.8,2009-10-18,,4.6,30,PDF,,16.6,,,Nanos Research,
233,9,FALSE,38.3,2009-10-20,,11,27.1,HTML,,14.5,,,EKOS Research Associates,
232,8,FALSE,38,2009-10-21,,10,26,HTML,,16,,,Environics,
231,11,FALSE,40,2009-10-22,,11,25,HTML,,13,,,Ipsos Reid,
230,9,FALSE,40,2009-10-24,,7,26,PDF,,17,,,Angus Reid Strategies,
229,8.2,FALSE,38.4,2009-10-27,,9.9,26.8,HTML,,16.7,,,EKOS Research Associates,
228,9.4,FALSE,37.4,2009-11-03,,10,26.8,HTML,,16.3,,,EKOS Research Associates,
227,8.8,FALSE,36.6,2009-11-10,,11.2,26.6,PDF,,16.8,,,EKOS Research Associates,
226,9.3,FALSE,38,2009-11-10,,5.9,28.8,PDF,,17.9,,,Nanos Research,
225,11,FALSE,38,2009-11-16,,10,23,PDF,,17,,,Angus Reid Public Opinion,
224,9,FALSE,37,2009-11-19,,10,24,HTML,,19,,,Ipsos Reid,
223,9.4,FALSE,36.9,2009-11-24,,11.4,27.1,PDF,,15.3,,,EKOS Research Associates,
222,9.9,FALSE,35.6,2009-12-08,,11.3,26.5,PDF,,16.7,,,EKOS Research Associates,
221,11,FALSE,36,2009-12-10,,6,29,PDF,,16,,,Angus Reid Public Opinion,
220,7.7,FALSE,39.5,2009-12-13,,4,30.2,PDF,,18.7,,,Nanos Research,
219,9.2,FALSE,35.9,2009-12-15,,11.2,26.7,PDF,,17,,,EKOS Research Associates,
218,9.8,FALSE,33.1,2010-01-05,,13.4,27.8,PDF,,16,,,EKOS Research Associates,
217,10,FALSE,36,2010-01-06,,8,29,HTML,,17,,,Angus Reid Public Opinion,
216,9,FALSE,31,2010-01-08,,10,30,HTML,,18,,,Strategic Counsel,
215,9,FALSE,34,2010-01-10,,9,30,PDF,,16,,,Harris-Decima,
214,10.2,FALSE,30.9,2010-01-12,,11.9,29.3,PDF,,15.3,,,EKOS Research Associates,
213,9,FALSE,34,2010-01-13,,8,28,PDF,,19,,,Angus Reid Public Opinion,
212,9.1,FALSE,31.5,2010-01-19,,11.5,30.9,PDF,,14.9,,,EKOS Research Associates,
211,9,FALSE,34,2010-01-21,,8,31,HTML,,17,,,Ipsos Reid,
210,10,FALSE,32,2010-01-24,,10,31,HTML,,15,,,Harris-Decima,
209,9.1,FALSE,31.1,2010-01-26,,11,31.6,PDF,,14.6,,,EKOS Research Associates,
208,10,FALSE,33,2010-01-26,,7,29,PDF,,19,,,Angus Reid Public Opinion,
207,10,FALSE,32,2010-01-31,,9,32,PDF,,15,,,Harris-Decima,
206,8.4,FALSE,31,2010-02-02,,10.9,31.9,PDF,,15.4,,,EKOS Research Associates,
205,8.5,FALSE,35.6,2010-02-04,,5.6,33.9,PDF,,16.4,,,Nanos Research,
204,10.3,FALSE,31,2010-02-09,,11.3,29,PDF,,15.5,,,EKOS Research Associates,
203,8,FALSE,33,2010-02-09,,9,37,HTML,,13,,,Environics,
202,9,FALSE,34,2010-02-13,,8,30,PDF,,18,,,Angus Reid Public Opinion,
201,10,FALSE,32,2010-02-14,,10,30,PDF,,16,,,Harris-Decima,
200,8.8,FALSE,31.2,2010-02-16,,11.8,29,PDF,,16.5,,,EKOS Research Associates,
199,9,FALSE,37,2010-02-22,,7,29,HTML,,16,,,Ipsos Reid,
198,8.2,FALSE,33.4,2010-02-23,,10.4,30.3,PDF,,15.8,,,EKOS Research Associates,
197,9,FALSE,31,2010-02-24,,13,30,HTML,,16,,,Environics,
196,9,FALSE,33,2010-02-26,,9,29,PDF,,20,,,Angus Reid Public Opinion,
195,8,FALSE,31,2010-02-28,,12,31,HTML,,16,,,Harris-Decima,
194,9.4,FALSE,32.4,2010-03-02,,10.5,29.4,PDF,,15.2,,,EKOS Research Associates,
193,10,FALSE,33,2010-03-07,,11,29,PDF,,16,,,Harris-Decima,
192,9.1,FALSE,31.9,2010-03-09,,11,29.6,PDF,,16,,,EKOS Research Associates,
191,7.7,FALSE,34.7,2010-03-11,,5.2,34.6,PDF,,17.8,,,Nanos Research,
190,9.2,FALSE,33.1,2010-03-16,,10.8,28.9,PDF,,15.7,,,EKOS Research Associates,
189,9,FALSE,34,2010-03-18,,10,28,HTML,,18,,,Ipsos Reid,
188,9.8,FALSE,33.3,2010-03-23,,10.4,27.7,PDF,,15.9,,,EKOS Research Associates,
187,9,FALSE,35,2010-03-26,,7,29,PDF,,20,,,Angus Reid Public Opinion,
186,9,FALSE,32.2,2010-03-30,,12.7,27,PDF,,16,,,EKOS Research Associates,
185,9,FALSE,32,2010-04-05,,11,29,PDF,,17,,,Harris-Decima,
184,9.6,FALSE,33.6,2010-04-06,,11.7,27.3,PDF,,15.9,,,EKOS Research Associates,
183,10,FALSE,37,2010-04-08,,10,27,HTML,3.1,15,,,Ipsos Reid,
182,8.8,FALSE,31.4,2010-04-13,,11.1,29,PDF,2.7,16.4,,,EKOS Research Associates,
181,9.5,FALSE,31.7,2010-04-20,,12.6,27.1,PDF,2.3,16.3,,,EKOS Research Associates,
180,9,FALSE,35,2010-04-22,,10,29,HTML,payment required,16,,,Ipsos Reid,
179,11,FALSE,29,2010-04-25,,12,27,PDF,2.2,20,,,Harris-Decima,
178,9.7,FALSE,31.9,2010-04-27,,10.9,26.6,PDF,2.2,17.6,,,EKOS Research Associates,
177,9,FALSE,36,2010-04-29,,8,25,HTML,2.5,20,,,Leger Marketing,
176,11,FALSE,35,2010-04-29,,7,28,PDF,3.1,19,,,Angus Reid Public Opinion,
175,9.6,FALSE,37.2,2010-05-03,,3.8,33.2,PDF,3.1,16.2,,,Nanos Research,
174,10.2,FALSE,33.1,2010-05-04,,11.5,26.1,PDF,2.1,16,,,EKOS Research Associates,
173,10,FALSE,35,2010-05-06,,9,29,HTML,payment required,16,,,Ipsos Reid,
172,9.3,FALSE,33.6,2010-05-11,,10.6,27.1,PDF,1.9,16.9,,,EKOS Research Associates,
171,10,FALSE,32,2010-05-16,,11,28,PDF,2.2,17,,,Harris-Decima,
170,10.6,FALSE,34.4,2010-05-18,,12,25.1,PDF,1.9,15.3,,,EKOS Research Associates,
169,8,FALSE,36,2010-05-23,,11,27,PDF,2.2,16,,,Harris-Decima,
168,9.4,FALSE,33.9,2010-05-25,,11.9,25.7,PDF,2.1,16.4,,,EKOS Research Associates,
167,10,FALSE,36,2010-05-26,,7,30,PDF,2.2,15,,,Environics,
166,9,FALSE,35,2010-05-27,,8,27,PDF,2.2,19,,,Angus Reid Public Opinion,
165,11,FALSE,37,2010-05-27,,8,25,HTML,2.7,17,,,Leger Marketing,
164,10.3,FALSE,31.7,2010-06-01,,11.5,26.2,PDF,2,17.4,,,EKOS Research Associates,
163,9.4,FALSE,35.6,2010-06-03,,5.1,29.2,PDF,3.6,20.7,,,Nanos Research,
162,8.9,FALSE,31.4,2010-06-08,,12.6,26.8,PDF,2.3,16.6,,,EKOS Research Associates,
161,10,FALSE,35,2010-06-10,,11,27,HTML,±3.1 pp,16,,,Ipsos Reid,
160,10.5,FALSE,30.5,2010-06-15,,12.3,26.3,PDF,±2.4 pp (c=95%),17.4,,,EKOS Research Associates,
159,11,FALSE,34,2010-06-20,,10,27,PDF,±2.2 pp (c=95%),17,,,Harris-Decima,
158,9.3,FALSE,31,2010-06-21,,13,27.7,PDF,±2.4 pp (c=95%),16.5,,,EKOS Research Associates,
157,9.7,FALSE,32.1,2010-07-06,,12.2,25.8,PDF,±1.7 pp (c=95%),17.5,,,EKOS Research Associates,
154,10,FALSE,36,2010-07-08,,7,27,PDF,±2.2 pp (c=95%),20,,,Angus Reid Public Opinion,
156,9,FALSE,35,2010-07-08,,6,32,PDF,±2.2 pp (c=95%),15,,,Environics,
155,11,FALSE,35,2010-07-08,,10,29,HTML,payment required,15,,,Ipsos Reid,
153,10.1,FALSE,31.6,2010-07-13,,13.3,27.5,PDF,±2.6 pp (c=95%),14.7,,,EKOS Research Associates,
152,10,FALSE,32.4,2010-07-20,,10.1,25.5,PDF,±3.1 pp (c=95%),18.4,,,EKOS Research Associates,
151,10,FALSE,31,2010-07-25,,12,26,PDF,±2.2 pp (c=95%),18,,,Harris-Decima,
150,10.1,FALSE,33.2,2010-07-27,,11.1,25.2,PDF,±2.6 pp (c=95%),17.4,,,EKOS Research Associates,
149,10.4,FALSE,29.7,2010-08-03,,11.1,28.5,PDF,±2.5 pp (c=95%),17.4,,,EKOS Research Associates,
148,9,FALSE,37,2010-08-04,,8,28,HTML,±2.5 pp (c=95%),16,,,Leger Marketing,
147,9,FALSE,34,2010-08-09,,12,28,PDF,±2.2 pp (c=95%),15,,,Harris-Decima,
146,9,FALSE,34,2010-08-09,,9,31,HTML,payment required,15,,,Ipsos Reid,
145,9.5,FALSE,32.2,2010-08-10,,12.3,27.7,PDF,±2.1 pp (c=95%),15.4,,,EKOS Research Associates,
144,10,FALSE,33,2010-08-11,,9,29,PDF,±3.1 pp (c=95%),19,,,Angus Reid Public Opinion,
143,9.2,FALSE,32.5,2010-08-17,,10.3,27.9,PDF,±1.8 pp (c=95%),17.4,,,EKOS Research Associates,
142,9,FALSE,33,2010-08-22,,10,30,PDF,±2.2 pp (c=95%),16,,,Harris-Decima,
141,11.2,FALSE,31.1,2010-08-24,,10.7,27.6,PDF,±2.5 pp (c=95%),16.9,,,EKOS Research Associates,
140,10.9,FALSE,29.4,2010-08-31,,13,29.1,PDF,±2.7 pp (c=95%),15.7,,,EKOS Research Associates,
139,12.1,FALSE,33.3,2010-09-03,,6.2,32.8,PDF,±3.4 pp (c=95%),15.6,,,Nanos Research,
138,9.5,FALSE,32.1,2010-09-07,,12.5,28.5,PDF,±2.3 pp (c=95%),15.2,,,EKOS Research Associates,
137,9,FALSE,35,2010-09-10,,7,31,HTML,±2.3 pp (c=95%),16,,,Environics,
136,10,FALSE,34,2010-09-12,,9,31,PDF,±3.1 pp (c=95%),16,,,Ipsos Reid,
135,8.9,FALSE,32.4,2010-09-14,,10.7,28.9,PDF,±2.3 pp (c=95%),16.6,,,EKOS Research Associates,
134,10,FALSE,33,2010-09-19,,11,30,PDF,±2.2 pp (c=95%),14,,,Harris-Decima,
133,9.7,FALSE,31.7,2010-09-21,,11.8,29.3,PDF,±2.5 pp (c=95%),14.6,,,EKOS Research Associates,
132,11,FALSE,35,2010-09-23,,12,29,HTML,±3.1 pp (c=95%),12,,,Ipsos Reid,
131,10.1,FALSE,33.1,2010-09-28,,10.9,29.9,PDF,±2.3 pp (c=95%),13.5,,,EKOS Research Associates,
130,10,FALSE,34,2010-09-28,,11,26,PDF,±3.1 pp (c=95%),18,,,Angus Reid Public Opinion,
129,9.7,FALSE,31.8,2010-10-05,,11.2,27.6,PDF,±2.0 pp (c=95%),16.5,,,EKOS Research Associates,
128,9.8,FALSE,36.6,2010-10-06,,4.9,32.4,PDF,±3.4 pp (c=95%),16.3,,,Nanos Research,
127,9.3,FALSE,34.4,2010-10-12,,10.4,27.8,PDF,±2.5 pp (c=95%),15.8,,,EKOS Research Associates,
126,10,FALSE,32,2010-10-17,,10,30,PDF,±2.2 pp (c=95%),14,,,Harris-Decima,
125,11.2,FALSE,30.9,2010-10-19,,11.6,29.4,PDF,±2.5 pp (c=95%),13.9,,,EKOS Research Associates,
124,9.3,FALSE,33.9,2010-10-26,,11.6,27.8,PDF,±3.0 pp (c=95%),15.1,,,EKOS Research Associates,
123,10,FALSE,37,2010-10-26,,6,26,PDF,±3.1 pp (c=95%),19,,,Angus Reid Public Opinion,
122,9,FALSE,33,2010-10-31,,10,28,PDF,±2.2 pp (c=95%),17,,,Harris-Decima,
121,10,FALSE,33,2010-11-01,,10,25,PDF,±3.1 pp (c=95%),21,,,Abacus Data,
120,8,FALSE,35,2010-11-04,,11,29,HTML,±3.1 pp (c=95%),16,,,Ipsos Reid,
119,10.8,FALSE,37.1,2010-11-05,,5.2,31.6,PDF,±3.4 pp (c=95%),15.4,,,Nanos Research,
118,9.3,FALSE,29.4,2010-11-09,,10.7,28.6,PDF,±2.3 pp (c=95%),19.3,,,EKOS Research Associates,
117,9.9,FALSE,32.4,2010-11-16,,9.8,28.7,PDF,±2.5 pp (c=95%),16.3,,,EKOS Research Associates,
116,9.5,FALSE,33.3,2010-11-23,,9.5,27.1,PDF,±2.2 pp (c=95%),16.6,,,EKOS Research Associates,
115,9.9,FALSE,32.6,2010-11-30,,10.9,27.4,PDF,±2.2 pp (c=95%),15.8,,,EKOS Research Associates,
114,10.2,FALSE,38.1,2010-12-05,,3.2,31.2,PDF,±3.6 pp (c=95%),17.2,,,Nanos Research,
113,10,FALSE,35,2010-12-06,,10,24,PDF,±3.1 pp (c=95%),20,,,Abacus Data,
112,9.8,FALSE,33.7,2010-12-07,,10.4,29.2,PDF,±2.7 pp (c=95%),14.4,,,EKOS Research Associates,
111,10,FALSE,38,2010-12-07,,7,26,PDF,±3.1 pp,18,,,Angus Reid Public Opinion,
110,10,FALSE,39,2010-12-09,,9,29,HTML,±3.1 pp,12,,,Ipsos Reid,
109,9,FALSE,31,2010-12-13,,11,29,HTML,±2.2 pp (c=95%),15,,,Harris-Decima,
108,10.6,FALSE,32,2010-12-15,,10.9,26.5,PDF,±2.0 pp (c=95%),17.1,,,EKOS Research Associates,
107,11,FALSE,34,2011-01-09,,8,28,PDF,±3.1 pp,17,,,Angus Reid Public Opinion,
106,9.8,FALSE,34.5,2011-01-12,,10.3,27.3,PDF,±1.7 pp (c=95%),14.8,,,EKOS Research Associates,
105,9,FALSE,36,2011-01-16,,9,28,PDF,±2.2 pp (c=95%),15,,,Harris-Decima,
104,10,FALSE,35,2011-01-24,,8,28,HTML,not stated,19,,,Pollara,
103,10,FALSE,35,2011-01-24,,9,27,PDF,±3.0 pp (c=95%),18,,,Abacus Data,
102,9.7,FALSE,35.4,2011-01-26,,9.8,27.9,PDF,±1.4 pp (c=95%),14.8,,,EKOS Research Associates,
101,11,FALSE,34,2011-02-02,,10,29,HTML,±3.1 pp,16,,,Ipsos Reid,
100,9.9,FALSE,37.3,2011-02-09,,10.7,24.8,PDF,±2.4 pp,14.2,,,EKOS Research Associates,
99,9,FALSE,39,2011-02-10,,10,25,HTML,±3.1 pp,18,,,Ipsos Reid,
98,10,FALSE,37,2011-02-13,,10,27,PDF,±3.1 pp (c=95%),14,,,Harris-Decima,
97,9.9,FALSE,39.7,2011-02-14,,4.9,26.6,PDF,±3.4 pp,18.9,,,Nanos Research,
96,9,FALSE,39,2011-02-18,,6,26,PDF,±1.2 pp,18,,,Angus Reid Public Opinion,
95,10.5,FALSE,32.4,2011-02-22,,11.9,27.3,PDF,±2.0 pp,14.8,,,EKOS Research Associates,
94,11,FALSE,38,2011-02-23,,8,23,PDF,±3.1 pp (c-95%),19,,,Abacus Data,
93,10,FALSE,43,2011-02-27,,5,27,HTML,±3.1 pp (c-95%),13,,,Ipsos Reid,
92,9,FALSE,36,2011-02-27,,9,28,PDF,±2.2 pp (c-95%),15,,,Harris-Decima,
91,8.8,FALSE,35.2,2011-03-08,,10.1,27.8,PDF,±2.0 pp,14.9,,,EKOS Research Associates,
90,9,FALSE,39,2011-03-09,,9,23,PDF,±3.1 pp,17,,,Angus Reid Public Opinion,
89,11,FALSE,40,2011-03-09,,5,27,HTML,±3.1 pp (c-95%),16,,,Ipsos Reid,
88,10,FALSE,36,2011-03-10,,10,23,PDF,±2.1 pp,18,,,Leger Marketing,
87,10.1,FALSE,38.6,2011-03-15,,3.8,27.6,PDF,±3.2 pp,19.9,,,Nanos Research,
86,10.2,FALSE,34.1,2011-03-16,,10.4,25.7,PDF,±2.8 pp,16.4,,,EKOS Research Associates,
85,10,FALSE,34,2011-03-20,,9,28,PDF,±2.2 pp (c-95%),17,,,Harris-Decima,
84,10,FALSE,43,2011-03-23,,6,24,HTML,±3.1 pp (c-95%),16,,,Ipsos Reid,
81,10,FALSE,39,2011-03-24,,7,25,HTML,±2 pp,19,,,Angus Reid Public Opinion,
83,9.7,FALSE,35.3,2011-03-24,,10.6,28.1,PDF,±2.0 pp (c-95%),14.2,,,EKOS Research Associates,
82,9,FALSE,39,2011-03-24,,7,23,PDF,±1.7 pp,19,,,Leger Marketing,
79,10,TRUE,38,2011-03-27,,7,24,PDF,±3.1 pp,19,,,Harris-Decima,Phone
80,10,TRUE,41,2011-03-27,,6,24,HTML,±2.2 pp,19,,,Forum Research,Phone
78,9,TRUE,36,2011-03-28,,8,27,PDF,±3.2 pp,20,,,Abacus Data,Online
77,9.1,TRUE,38.4,2011-03-29,,4.1,28.7,PDF,±3.2 pp,19.6,,,Nanos Research[note 1],Phone
76,8.7,TRUE,39.1,2011-03-30,,3.7,32.7,PDF,±3.2 pp,15.9,,,Nanos Research[note 1],Phone
75,8.5,TRUE,39.4,2011-03-31,,4.4,31.7,PDF,±3.2 pp,16.1,,,Nanos Research[note 1],Phone
74,8.5,TRUE,36.9,2011-03-31,,8.7,26.2,PDF,±1.9 pp,17.2,2.5,,EKOS Research Associates,Phone (IVR)
73,8.5,TRUE,41.3,2011-04-01,,3.7,30.3,PDF,±3.1 pp,16,,,Nanos Research[note 1],Phone
72,8,TRUE,40.7,2011-04-02,,4,29.4,PDF,±3.1 pp,16.9,,,Nanos Research[note 1],Phone
71,10,TRUE,37,2011-04-02,,8,26,PDF,±1.7 pp,18,,,Leger Marketing,Online
70,8,TRUE,42.3,2011-04-03,,3.8,28.4,PDF,±3.1 pp,16.4,,,Nanos Research[note 1],Phone
69,10,TRUE,35,2011-04-03,,8,28,PDF,±3.1 pp,17,,,Harris-Decima,Phone
68,8.3,TRUE,39.8,2011-04-04,,4,30.2,PDF,±3.1 pp,16.5,,,Nanos Research[note 1],Phone
66,6.9,TRUE,37,2011-04-05,,9.3,27.8,PDF,±3.0 pp,16.1,2.9,,EKOS Research Associates,Phone (IVR)
65,8,TRUE,38,2011-04-05,,6,27,PDF,±2.2,21,,,Angus Reid Public Opinion,Online
64,8,TRUE,38,2011-04-05,,8,25,PDF,±3.1 pp,20,,,Environics,Phone
67,8.3,TRUE,39.7,2011-04-05,,3.8,29.9,PDF,±3.1 pp,17.4,,,Nanos Research[note 1],Phone
63,8.3,TRUE,39.6,2011-04-06,,3.2,30.4,PDF,±3.1 pp,17.2,,,Nanos Research[note 1],Phone
62,8,TRUE,38,2011-04-06,,9,26,HTML,±2.2 pp,20,,,Forum Research,Phone
61,8.7,TRUE,40.6,2011-04-07,,3.4,31.1,PDF,±3.1 pp,14.7,,,Nanos Research[note 1],Phone
60,8.3,TRUE,36.2,2011-04-07,,8.5,27.7,PDF,±2.1 pp,16.6,2.8,,EKOS Research Associates,Phone (IVR)
59,9,TRUE,41,2011-04-07,,4,26,HTML,±3.1 pp,19,,,Ipsos Reid,Phone
58,9.2,TRUE,40.5,2011-04-08,,4,31.7,PDF,±3.1 pp,13.2,,,Nanos Research[note 1],Phone
57,9,TRUE,36,2011-04-08,,9,25,PDF,±3.1 pp,18,,,TNS Canada,Phone
56,8.1,TRUE,39.5,2011-04-09,,4.8,31.6,PDF,±3.1 pp,14.7,,,Nanos Research[note 1],Phone
55,7.8,TRUE,41.2,2011-04-10,,4.6,30.4,PDF,±3.1 pp,15.2,,,Nanos Research[note 1],Phone
54,8,TRUE,40,2011-04-10,,8,28,PDF,±3.1 pp,15,,,Harris-Decima,Phone
53,7.8,TRUE,39.7,2011-04-11,,4,31.2,PDF,±3.1 pp,16.8,,,Nanos Research[note 1],Phone
52,9,TRUE,39,2011-04-11,,7,28,HTML,±2.16 pp,17,,,Innovative Research Group,Online
51,8,TRUE,45,2011-04-11,,7,24,PDF,±2.1 pp,16,,,COMPAS,Phone
50,9.1,TRUE,39.9,2011-04-12,,3.8,30.4,PDF,±3.1 pp,16.3,,,Nanos Research[note 1],Phone
49,7.8,TRUE,33.8,2011-04-12,,9,28.8,PDF,±2.9 pp,19.1,1.5,,EKOS Research Associates,Phone (IVR)
48,7.5,TRUE,38.9,2011-04-13,,3.1,31.1,PDF,±3.1 pp,18.3,,,Nanos Research[note 1],Phone
45,7,TRUE,36,2011-04-14,,8,25,HTML,±2.2 pp,22,,,Forum Research,Phone
47,9,TRUE,38.7,2011-04-14,,3.7,28.8,PDF,±3.1 pp,18.6,,,Nanos Research[note 1],Phone
46,7.1,TRUE,35.3,2011-04-14,,9.6,27.8,PDF,±2.8 pp,18,2.1,,EKOS Research Associates,Phone (IVR)
44,8.5,TRUE,38.8,2011-04-15,,3.4,28.8,PDF,±3.1 pp,19.2,,,Nanos Research[note 1],Phone
43,8,TRUE,37,2011-04-15,,5,29,PDF,±3.2 pp,20,,,Abacus Data,Online
42,9.6,TRUE,39,2011-04-16,,3.6,28.3,PDF,±3.1 pp,18.4,,,Nanos Research[note 1],Phone
41,9,TRUE,36,2011-04-16,,5,25,PDF,±2.2,25,,,Angus Reid Public Opinion,Online
35,9,TRUE,39,2011-04-17,,6,28,PDF,±2.25 pp,17,1,,Innovative Research Group,Phone
36,9,TRUE,39,2011-04-17,,6,24,HTML,±3.2 pp,22,1,,Environics,Phone
39,8.6,TRUE,39.8,2011-04-17,,3.4,29.8,PDF,±3.1 pp,17.4,,,Nanos Research[note 1],Phone
38,8,TRUE,36,2011-04-17,,7,28,PDF[dead link],±3.1 pp,19,,,Harris-Decima,Phone
40,8,TRUE,38,2011-04-17,,5,26,PDF,±1.7 pp,22,,,Leger Marketing,Online
37,7.8,TRUE,37.4,2011-04-17,,8.4,24.9,PDF,±2.2 pp,20,1.5,,EKOS Research Associates,Phone (IVR)
34,8.6,TRUE,39.8,2011-04-18,,3.1,30.2,PDF,±3.1 pp,17.3,,,Nanos Research[note 1],Phone
33,7.7,TRUE,39.1,2011-04-19,,3.9,28.4,PDF,±3.1 pp,19.8,,,Nanos Research[note 1],Phone
32,6.5,TRUE,34.4,2011-04-20,,7.8,24.7,PDF,±2.2 pp,24.7,1.9,,EKOS Research Associates,Phone (IVR)
31,7.5,TRUE,39,2011-04-20,,3.4,26.7,PDF,±3.1 pp,22.1,,,Nanos Research[note 1],Phone
30,6,TRUE,36,2011-04-20,,6,23,HTML,±2.2 pp,25,,,Forum Research,Phone (IVR)
29,6,TRUE,43,2011-04-20,,4,21,HTML,±3.1 pp,24,,,Ipsos Reid,Phone
28,7.4,TRUE,37.8,2011-04-21,,3.5,26.1,PDF,±3.1 pp,23.7,,,Nanos Research[note 1],Phone
27,7,TRUE,39,2011-04-21,,6,22,HTML,±3.2 pp,25,1,,Environics,Phone
26,7.2,TRUE,38.6,2011-04-23,,3.7,25.9,PDF,±3.1 pp,23.2,,,Nanos Research[note 1],Phone
25,6.5,TRUE,39.2,2011-04-24,,3.6,25.6,PDF,±3.1 pp,23.6,,,Nanos Research[note 1],Phone
24,6.2,TRUE,33.7,2011-04-24,,7.2,23.7,PDF,±1.9 pp,28,1.2,,EKOS Research Associates,Phone (IVR)
23,6.4,TRUE,38.4,2011-04-25,,5.3,24.9,HTML,±2.49 pp,23.9,,,Innovative Research Group,Phone
22,6,TRUE,33.9,2011-04-25,,6.8,24,PDF,±2.0 pp,27.9,1.4,,EKOS Research Associates[note 1],Phone (IVR)
19,6,TRUE,34,2011-04-26,,7,22,HTML,±1.8 pp,31,,,Forum Research,Phone (IVR)
18,6.6,TRUE,34,2011-04-26,,6.5,22.9,PDF,±1.9 pp,28.1,1.9,,EKOS Research Associates[note 1],Phone (IVR)
21,7,TRUE,35,2011-04-26,,5,22,PDF,±2.2 pp,30,1,,Angus Reid Public Opinion,Online
20,5.8,TRUE,37.8,2011-04-26,,4.7,22.9,PDF,±3.1 pp,27.8,,,Nanos Research[note 1],Phone
17,6,TRUE,36.6,2011-04-27,,4.1,21.9,PDF,±3.1 pp,30.4,,,Nanos Research[note 1],Phone
16,6.1,TRUE,34.8,2011-04-27,,6.8,22.3,PDF,±1.9 pp,27.5,2.5,,EKOS Research Associates[note 1],Phone (IVR)
15,5,TRUE,35,2011-04-27,,7,22,HTML,±3.1 pp,30,,,Harris-Decima,Phone
14,5.7,TRUE,36.4,2011-04-28,,4,22,PDF,±3.1 pp,31.2,,,Nanos Research[note 1],Phone
13,6.3,TRUE,34.5,2011-04-28,,6.9,20,PDF,±1.8 pp,29.7,2.7,,EKOS Research Associates[note 1],Phone (IVR)
12,6,TRUE,38,2011-04-28,,4,18,HTML,±3.1 pp,33,,,Ipsos Reid,Phone
11,7,TRUE,36,2011-04-28,,4,21,PDF,±1.7 pp,31,,,Leger Marketing,Online
7,7,TRUE,37,2011-04-29,,7,18,PDF,±3.2 pp,32,,,Abacus Data,Online
9,5.2,TRUE,38,2011-04-29,,3.1,23.3,PDF,±3.0 pp,29.6,,,Nanos Research[note 1],Phone
10,6,TRUE,37,2011-04-29,,4,19,PDF,±2.2 pp,33,,,Angus Reid Public Opinion,Online
8,7,TRUE,46,2011-04-29,,4,17,PDF,±3.6 pp,26,,,COMPAS,Phone
6,5.5,TRUE,37,2011-04-30,,3.2,22.7,PDF,±3.0 pp,30.6,,,Nanos Research[note 1],Phone
5,5,TRUE,35,2011-04-30,,7,19,HTML 2,±1.6 pp,33,,,Forum Research,Phone (IVR)
4,5.4,TRUE,34.6,2011-04-30,,6.3,20.4,PDF,±1.8 pp,31.4,1.8,,EKOS Research Associates[note 1],Phone (IVR)
3,6,TRUE,36,2011-05-01,,6,19,PDF,±3.1 pp,30,,,Harris-Decima,Phone
